NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2629.152s, table=0, n_packets=0, n_bytes=0, idle_age=2629, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5054 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2628.156s, table=0, n_packets=0, n_bytes=0, idle_age=2628, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5055,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2628.154s, table=0, n_packets=0, n_bytes=0, idle_age=2628, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5055,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2628.152s, table=0, n_packets=0, n_bytes=0, idle_age=2628, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5055 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2628.150s, table=0, n_packets=0, n_bytes=0, idle_age=2628, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5055 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2627.157s, table=0, n_packets=0, n_bytes=0, idle_age=2627, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5056,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2627.154s, table=0, n_packets=0, n_bytes=0, idle_age=2627, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5056,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2627.153s, table=0, n_packets=0, n_bytes=0, idle_age=2627, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5056 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2627.151s, table=0, n_packets=0, n_bytes=0, idle_age=2627, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5056 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2626.156s, table=0, n_packets=0, n_bytes=0, idle_age=2626, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5057,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2626.154s, table=0, n_packets=0, n_bytes=0, idle_age=2626, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5057,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2626.152s, table=0, n_packets=0, n_bytes=0, idle_age=2626, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5057 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2626.150s, table=0, n_packets=0, n_bytes=0, idle_age=2626, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5057 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2625.156s, table=0, n_packets=0, n_bytes=0, idle_age=2625, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5058,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2625.153s, table=0, n_packets=0, n_bytes=0, idle_age=2625, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5058,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2625.151s, table=0, n_packets=0, n_bytes=0, idle_age=2625, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5058 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2625.150s, table=0, n_packets=0, n_bytes=0, idle_age=2625, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5058 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2624.155s, table=0, n_packets=0, n_bytes=0, idle_age=2624, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5059,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
